ut;addr_no;country;code;city;organisation;pubs
WOS:000291026900063;2;Japan;JP;Tokyo;National Institutes of Natural Sciences (NINS) - Japan;168
WOS:000291026900063;2;Japan;JP;Tokyo;National Astronomical Observatory of Japan;135
WOS:000291026900063;5;Japan;JP;Nagoya;Nagoya University;116
WOS:000291026900063;8;Japan;JP;Minamimaki;National Institutes of Natural Sciences (NINS) - Japan;168
WOS:000291026900063;8;Japan;JP;Minamimaki;National Astronomical Observatory of Japan;135
WOS:000291027400090;2;Scotland;GB;St Andrews;University of St Andrews;104
WOS:000291027400108;13;USA;US;Cambridge;Harvard University;103
WOS:000291027400108;29;England;GB;Keele;Keele University;132
WOS:000291890200013;1;Japan;JP;Nagoya;Nagoya University;116
WOS:000292089700045;1;USA;US;Pasadena;California Institute of Technology;154
WOS:000292089700045;3;USA;US;Los Angeles;University of California System;108
WOS:000292089700045;4;USA;US;Pasadena;California Institute of Technology;154
WOS:000292089700045;4;USA;US;Pasadena;National Aeronautics & Space Administration (NASA);162
WOS:000292089700045;5;USA;US;Greenbelt;National Aeronautics & Space Administration (NASA);162
WOS:000292089700045;5;USA;US;Greenbelt;NASA Goddard Space Flight Center;107
WOS:000292089700045;7;USA;US;Pasadena;California Institute of Technology;154
WOS:000292089700045;10;USA;US;Davis;University of California System;108
WOS:000292888200031;1;Japan;JP;Nagoya;Nagoya University;116
WOS:000292888200031;4;Japan;JP;Nagoya;Nagoya University;116
WOS:000293017700052;1;England;GB;Keele;Keele University;132
WOS:000293017700052;2;Scotland;GB;Haugh;University of St Andrews;104
WOS:000293017700052;3;Switzerland;CH;Sauverny;University of Geneva;100
WOS:000293017700112;2;England;GB;Keele;Keele University;132
WOS:000293017700112;3;Scotland;GB;St Andrews;University of St Andrews;104
WOS:000293017700112;4;France;FR;Paris;Centre National de la Recherche Scientifique (CNRS);128
WOS:000293017700112;6;France;FR;St Michel lObservatoire;Centre National de la Recherche Scientifique (CNRS);128
WOS:000293017700112;7;Switzerland;CH;Sauverny;University of Geneva;100
WOS:000293017700112;9;England;GB;Coventry;University of Warwick;144
WOS:000293017700115;1;Japan;JP;Okayama;National Institutes of Natural Sciences (NINS) - Japan;168
WOS:000293017700115;1;Japan;JP;Okayama;National Astronomical Observatory of Japan;135
WOS:000293129000011;7;Germany;DE;Heidelberg;Max Planck Society;198
WOS:000293178600038;2;Germany;DE;Garching;Max Planck Society;198
WOS:000293178600038;5;USA;US;Greenbelt;National Aeronautics & Space Administration (NASA);162
WOS:000293178600038;5;USA;US;Greenbelt;NASA Goddard Space Flight Center;107
WOS:000293178600075;1;England;GB;Keele;Keele University;132
WOS:000293756300034;1;England;GB;Coventry;University of Warwick;144
WOS:000293756300034;3;England;GB;Keele;Keele University;132
WOS:000294669700020;1;Scotland;GB;St Andrews;University of St Andrews;104
WOS:000294669700020;2;England;GB;Keele;Keele University;132
WOS:000294669700020;5;France;FR;Paris;Centre National de la Recherche Scientifique (CNRS);128
WOS:000294669700020;6;France;FR;St Michel Lobervatoire;Centre National de la Recherche Scientifique (CNRS);128
WOS:000294669700020;8;Switzerland;CH;Sauverny;University of Geneva;100
WOS:000294669700020;10;France;FR;Marseille;Centre National de la Recherche Scientifique (CNRS);128
WOS:000294669700020;12;England;GB;Coventry;University of Warwick;144
WOS:000295168100088;2;England;GB;Keele;Keele University;132
WOS:000295168100088;3;Switzerland;CH;Sauverny;University of Geneva;100
WOS:000295168100088;5;England;GB;Coventry;University of Warwick;144
WOS:000295168100088;6;Scotland;GB;Haugh;University of St Andrews;104
WOS:000295168100099;2;Germany;DE;Heidelberg;Max Planck Society;198
WOS:000295168100099;3;Scotland;GB;St Andrews;University of St Andrews;104
WOS:000295168100133;8;USA;US;Moffett Field;National Aeronautics & Space Administration (NASA);162
WOS:000295168100133;10;USA;US;Cambridge;Harvard University;103
WOS:000295168100133;10;USA;US;Cambridge;Smithsonian Institution;132
WOS:000296769000035;1;Japan;JP;Tokyo;National Institutes of Natural Sciences (NINS) - Japan;168
WOS:000296769000035;1;Japan;JP;Tokyo;National Astronomical Observatory of Japan;135
WOS:000296769000035;3;Japan;JP;Nagoya;Nagoya University;116
WOS:000296769000035;6;USA;US;Pasadena;California Institute of Technology;154
WOS:000296769000035;6;USA;US;Pasadena;National Aeronautics & Space Administration (NASA);162
WOS:000297841200008;1;England;GB;Keele;Keele University;132
WOS:000297841200008;2;Scotland;GB;St Andrews;University of St Andrews;104
WOS:000297841200008;4;Switzerland;CH;Sauverny;University of Geneva;100
WOS:000297841200015;1;England;GB;Keele;Keele University;132
WOS:000297841200015;6;Scotland;GB;St Andrews;University of St Andrews;104
WOS:000297841200015;8;USA;US;Pasadena;California Institute of Technology;154
WOS:000297841200015;8;USA;US;Pasadena;National Aeronautics & Space Administration (NASA);162
WOS:000297841200015;11;England;GB;Coventry;University of Warwick;144
WOS:000297987400037;1;England;GB;Keele;Keele University;132
WOS:000297987400037;3;Scotland;GB;St Andrews;University of St Andrews;104
WOS:000297987400037;5;England;GB;Coventry;University of Warwick;144
WOS:000298303300043;1;England;GB;Keele;Keele University;132
WOS:000299191800014;2;Japan;JP;Tokyo;University of Tokyo;142
WOS:000299191800014;3;USA;US;Greenbelt;National Aeronautics & Space Administration (NASA);162
WOS:000299191800014;3;USA;US;Greenbelt;NASA Goddard Space Flight Center;107
WOS:000299191800014;4;Japan;JP;Nagoya;Nagoya University;116
WOS:000299191800014;5;Japan;JP;Mitaka;National Institutes of Natural Sciences (NINS) - Japan;168
WOS:000299191800014;5;Japan;JP;Mitaka;National Astronomical Observatory of Japan;135
WOS:000299191800016;2;Japan;JP;Nagoya;Nagoya University;116
WOS:000299191800016;7;USA;US;Greenbelt;National Aeronautics & Space Administration (NASA);162
WOS:000299191800016;7;USA;US;Greenbelt;NASA Goddard Space Flight Center;107
WOS:000300702200032;5;France;FR;Lyon;Centre National de la Recherche Scientifique (CNRS);128
WOS:000300702200060;2;Germany;DE;Garching;Max Planck Society;198
WOS:000300735600018;3;Scotland;GB;St Andrews;University of St Andrews;104
WOS:000301872800004;1;England;GB;Keele;Keele University;132
WOS:000301872800004;2;Scotland;GB;St Andrews;University of St Andrews;104
WOS:000301872800004;4;Switzerland;CH;Sauverny;University of Geneva;100
WOS:000302620700007;2;England;GB;Coventry;University of Warwick;144
WOS:000302620700007;7;England;GB;Keele;Keele University;132
WOS:000303262000142;2;France;FR;Nice;Centre National de la Recherche Scientifique (CNRS);128
WOS:000303262000142;3;France;FR;Gif Sur Yvette;Centre National de la Recherche Scientifique (CNRS);128
WOS:000303315400092;1;France;FR;Paris;Centre National de la Recherche Scientifique (CNRS);128
WOS:000303315400092;9;USA;US;Columbus;Ohio State University;107
WOS:000303315400092;13;Japan;JP;Nagoya;Nagoya University;116
WOS:000303315400092;15;France;FR;Grenoble;Centre National de la Recherche Scientifique (CNRS);128
WOS:000303315400122;1;France;FR;Toulouse;Centre National de la Recherche Scientifique (CNRS);128
WOS:000303315400122;2;France;FR;Toulouse;Centre National de la Recherche Scientifique (CNRS);128
WOS:000303858400012;1;England;GB;Keele;Keele University;132
WOS:000303858400012;2;Scotland;GB;Haugh;University of St Andrews;104
WOS:000303858400012;4;Switzerland;CH;Sauverny;University of Geneva;100
WOS:000304125800016;1;England;GB;Keele;Keele University;132
WOS:000304125800016;3;England;GB;Scotland;University of St Andrews;104
WOS:000304125800016;5;England;GB;Warwick;University of Warwick;144
WOS:000304246100054;6;France;FR;Gif Sur Yvette;Centre National de la Recherche Scientifique (CNRS);128
WOS:000305803300143;2;England;GB;Keele;Keele University;132
WOS:000306140600024;2;Germany;DE;Garching;Max Planck Society;198
WOS:000306597200086;1;Japan;JP;Nagoya;Nagoya University;116
WOS:000306597200086;4;USA;US;Hilo;National Institutes of Natural Sciences (NINS) - Japan;168
WOS:000306597200086;4;USA;US;Hilo;National Astronomical Observatory of Japan;135
WOS:000307888300008;2;Germany;DE;Garching;Max Planck Society;198
WOS:000307888300008;9;South Korea;KR;Taejon;Korea Astronomy & Space Science Institute (KASI);121
WOS:000307888300008;10;USA;US;Honolulu;National Aeronautics & Space Administration (NASA);162
WOS:000308290100072;1;Switzerland;CH;Sauverny;University of Geneva;100
WOS:000308290100072;2;England;GB;Keele;Keele University;132
WOS:000308290100072;3;Scotland;GB;Haugh;University of St Andrews;104
WOS:000308290100072;8;England;GB;Coventry;University of Warwick;144
WOS:000308919300022;1;Japan;JP;Nagoya;Nagoya University;116
WOS:000308919300022;2;Japan;JP;Mitaka;University of Tokyo;142
WOS:000309064600058;1;England;GB;Keele;Keele University;132
